rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date
16,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,16,182,2460078,2021-11-11
17,spotify:track:2gpWyfu7eZ01zzncHpxOtA,"Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),Republic Records,4,17,21,2371702,2021-11-11
18,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,6,18,154,2357429,2021-11-11
19,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,3,19,56,2317890,2021-11-11
20,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6,20,105,2282011,2021-11-11
21,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,1,21,164,2258894,2021-11-11
22,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,2,23,217,2236006,2021-11-11
23,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,24,231,2153834,2021-11-11
24,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,Republic Records,24,25,26,2115282,2021-11-11
25,spotify:track:4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,7,26,38,2058218,2021-11-11
26,spotify:track:4R67rQNSbbsR4TdUVOIdez,Travis Scott,ESCAPE PLAN,Cactus Jack / Epic,4,22,7,2054002,2021-11-11
27,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Golden Child Entertainment Ltd,27,27,11,2046307,2021-11-11
28,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,14,28,71,2017983,2021-11-11
29,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,34,161,1896509,2021-11-11
30,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,33,714,1891713,2021-11-11
31,spotify:track:1r9xUipOqoNwggBpENDsvJ,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,KIDinaKORNER/Interscope Records,30,30,14,1878514,2021-11-11
32,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",23,32,73,1873276,2021-11-11
33,spotify:track:4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,Atlantic Records UK,10,29,14,1861148,2021-11-11
34,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,28,31,53,1847565,2021-11-11
35,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,26,35,77,1840040,2021-11-11
36,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,36,175,1831893,2021-11-11
37,spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),Capitol,29,37,25,1749814,2021-11-11
38,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,38,406,1728431,2021-11-11
39,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,7,40,101,1638123,2021-11-11
40,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,2,44,175,1625799,2021-11-11
41,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),OVO,4,41,70,1603299,2021-11-11
42,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,33,42,444,1599584,2021-11-11
43,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,39,39,32,1592605,2021-11-11
44,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,11,43,70,1560825,2021-11-11
45,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,45,238,1524346,2021-11-11
46,spotify:track:2BEcap3xJtmiPaHKyfQi4e,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,Sony Music Latin,37,46,64,1493646,2021-11-11
47,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,3,49,203,1491228,2021-11-11
48,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,Rock The World/IDJ/Kanye LP7,7,48,55,1441905,2021-11-11
49,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,50,308,1440423,2021-11-11
50,spotify:track:20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",50,56,13,1429063,2021-11-11
51,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,37,51,91,1412581,2021-11-11
52,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,4,52,252,1405185,2021-11-11
53,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,"Big Machine Records, LLC",53,57,4,1401907,2021-11-11
54,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,54,726,1378455,2021-11-11
55,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath,XO / Republic Records,7,53,98,1327107,2021-11-11
56,spotify:track:2bgTY4UwhfBYhGT4HUYStN,BTS,Butter,BIGHIT MUSIC / HYBE,2,55,175,1325802,2021-11-11
57,spotify:track:08F16baYbciTva9P4BvpiI,Travis Scott,MAFIA,Cactus Jack / Epic,11,47,7,1318158,2021-11-11
58,spotify:track:6Dy1jexKYriXAVG6evyUTJ,"Joel Corry, Jax Jones, Charli XCX, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),Atlantic Records UK,40,58,89,1314646,2021-11-11
59,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,Benson Boone,GHOST TOWN,"Night Street Records, Inc./Warner Records Inc.",53,59,19,1291381,2021-11-11
60,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,60,70,1276276,2021-11-11
61,spotify:track:0G2zPzWqVjR68iNPmx2TBe,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,19,61,127,1245126,2021-11-11
62,spotify:track:6pgqZ7Iw4LfHlfgWWaRFSY,TWICE,The Feels,Republic Records - TWICE,52,62,42,1229082,2021-11-11
63,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,64,378,1217595,2021-11-11
64,spotify:track:6P096SaOzrgGxs8NWOfX7M,"Tiago PZK, Trueno",Salimo de Noche,WM Chile,64,68,17,1213417,2021-11-11
65,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,36,65,126,1211364,2021-11-11
66,spotify:track:3PwRuzdphgedcWVUOVYJ7I,Rauw Alejandro,Cúrame,Sony Music Latin/Duars Entertainment,34,67,109,1204005,2021-11-11
67,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,63,1038,1193109,2021-11-11
68,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,30,70,118,1190998,2021-11-11
69,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,58,66,95,1172821,2021-11-11
70,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,14,73,140,1167699,2021-11-11
71,spotify:track:4knc1Fp3kbuq8bH2byOvLu,"Camilo, Evaluna Montaner",Índigo,Sony Music Latin,35,71,29,1155969,2021-11-11
72,spotify:track:04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,Darkroom,46,69,53,1150336,2021-11-11
73,spotify:track:3JCaq3KDSROg3TXhdiDa9n,"Jhay Cortez, Anuel AA",Ley Seca,N&E Entertainment LLC,42,77,70,1148886,2021-11-11
74,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,2,76,742,1139839,2021-11-11
75,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,RCA Records Label,8,74,173,1134802,2021-11-11
76,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,75,225,1128823,2021-11-11
77,spotify:track:4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,24,79,113,1121901,2021-11-11
78,spotify:track:5TMLavqGRKNxgzMBrVpC9R,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,78,86,74,1119797,2021-11-11
79,spotify:track:6IPNp9PfaEqrzotY47TIWy,"DJ Snake, Ozuna, Megan Thee Stallion, LISA","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake Music Productions Limited,24,72,21,1119689,2021-11-11
80,spotify:track:4qsOrxBv09HhNSpsgMRXdC,"Marília Mendonça, Maiara & Maraisa",Esqueça-Me Se For Capaz,Som Livre,48,78,6,1110625,2021-11-11
81,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC / HYBE,1,81,448,1108219,2021-11-11
82,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),Kemosabe Records/RCA Records,35,80,106,1107029,2021-11-11
83,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,84,345,1099711,2021-11-11
84,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,19,83,1298,1097870,2021-11-11
85,spotify:track:1058fW9H3fZA6QjYCdOBad,Camila Cabello,Don't Go Yet,Epic,28,82,112,1092741,2021-11-11
86,spotify:track:1q3RiD1tIWUpGsNFADMlvl,Taylor Swift,All Too Well,"Big Machine Records, LLC",86,200,2,1083012,2021-11-11
87,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",9,90,168,1079250,2021-11-11
88,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,AWGE/Interscope Records,88,89,25,1075549,2021-11-11
89,spotify:track:6IAZHEBUIGJ6NJKxxOBIEr,Adele,Rolling in the Deep,XL Recordings,28,87,44,1068750,2021-11-11
90,spotify:track:1q0PYXTbDsirp2l74ng6pn,"J Balvin, Skrillex",In Da Getto,"Sueños Globales, LLC",22,91,133,1061450,2021-11-11
91,spotify:track:32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever - Edit,Darkroom/Interscope Records,68,85,64,1050843,2021-11-11
92,spotify:track:6O5TrlFWTYvznd9fMC0VvU,Adele,When We Were Young,XL Recordings,24,88,46,1046283,2021-11-11
93,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,1,92,459,1044335,2021-11-11
94,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,111,238,1040192,2021-11-11
95,spotify:track:5lkpeJwmQKgY3bX2zChjxX,Adele,Someone Like You,XL Recordings,31,94,48,1035265,2021-11-11
96,spotify:track:5rW7qTn83sCKtqBoneJs63,"bbno$, Rich Brian",edamame (feat. Rich Brian),bbno$,74,95,84,1033649,2021-11-11
97,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,87,99,68,1026202,2021-11-11
98,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,Atlantic Records,88,100,34,1014259,2021-11-11
99,spotify:track:05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,11,103,140,1013893,2021-11-11
100,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,50,98,196,1011849,2021-11-11
101,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,22,96,77,1009308,2021-11-11
102,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,17,97,722,1000138,2021-11-11
103,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,15,104,1741,998263,2021-11-11
104,spotify:track:08SB2OtZkaliju77WYEKxk,"Summer Walker, SZA",No Love (with SZA),LVRN/Interscope Records,37,93,7,994710,2021-11-11
105,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,101,175,993982,2021-11-11
106,spotify:track:053zWWZDziDJd3U94x8RuP,"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,Som Livre,68,102,6,980786,2021-11-11
107,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,110,1120,974533,2021-11-11
108,spotify:track:1is8gU4RVcN4J8xItxWoOY,Clinton Kane,I GUESS I'M IN LOVE,Columbia,68,105,84,969622,2021-11-11
109,spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,56,106,7,969214,2021-11-11
110,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,107,803,967396,2021-11-11
111,spotify:track:0DuWDLjriRPjDRoPgaCslY,Adele,Love In The Dark,XL Recordings,40,108,33,958652,2021-11-11
112,spotify:track:5eXBXreN3d1zdj6Sa8dS0u,BTS,Permission to Dance,BIGHIT MUSIC,2,109,126,951184,2021-11-11
113,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,103,112,88,946151,2021-11-11
114,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,3,115,1702,943831,2021-11-11
115,spotify:track:2N8m6CYs74qQO4mjVcXO30,Tones And I,Dance Monkey,Elektra (NEK),1,116,848,940713,2021-11-11
116,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,71,117,213,935768,2021-11-11
117,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,10,114,1555,927026,2021-11-11
118,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,119,385,920319,2021-11-11
119,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,92,118,321,916036,2021-11-11
120,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,LISA,LALISA,YG Entertainment/Interscope Records,15,122,63,912553,2021-11-11
121,spotify:track:1mrGEef8GuaEnDdw8J5BQp,"Bizarrap, Anuel AA","Anuel AA: Bzrp Music Sessions, Vol. 46",DALE PLAY Records,33,113,8,909051,2021-11-11
122,spotify:track:5reQI13tWWYDLMrGcUF4Mk,"Monsieur Periné, Vicente Garcia",Nuestra Canción,Monsieur Perine,76,121,19,905506,2021-11-11
123,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,51,123,168,903247,2021-11-11
124,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,8,125,381,903087,2021-11-11
125,spotify:track:6E90gq0KO6FYZVOXx8kCcC,Masked Wolf,Astronaut In The Ocean,Elektra (NEK),2,129,301,900864,2021-11-11
126,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,128,1749,900848,2021-11-11
127,spotify:track:1f3yAtsJtY87CTmM8RLnxf,Nirvana,Smells Like Teen Spirit,Geffen,92,127,297,897747,2021-11-11
128,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,RCA Records Label,12,131,486,895077,2021-11-11
129,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,19,147,51,894229,2021-11-11
130,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,11,126,478,892931,2021-11-11
131,spotify:track:2vXKRlJBXyOcvZYTdNeckS,"Gesaffelstein, The Weeknd",Lost in the Fire (feat. The Weeknd),Columbia,12,124,52,890250,2021-11-11
132,spotify:track:4OwhwvKESFtuu06dTgct7i,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,47,133,136,887092,2021-11-11
133,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,Columbia,3,139,217,883294,2021-11-11
134,spotify:track:37Nqx7iavZpotJSDXZWbJ3,"Drake, Lil Baby",Girls Want Girls (with Lil Baby),OVO,1,130,70,882629,2021-11-11
135,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,2,135,1139,872181,2021-11-11
136,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,Columbia,91,132,393,862946,2021-11-11
137,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,George Michael,Careless Whisper,Sony Music Entertainment,128,140,16,860903,2021-11-11
138,spotify:track:4rPkN1FMzQyFNP9cLUGIIB,Dua Lipa,Love Again,Warner Records,49,137,128,860733,2021-11-11
139,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,Atlantic Records,42,138,234,860698,2021-11-11
140,spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,G.O.O.D. Music/Columbia,76,141,945,859892,2021-11-11
141,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,Columbia,91,134,384,856838,2021-11-11
142,spotify:track:1J14CdDAvBTE1AJYUOwl6C,Duncan Laurence,Arcade,"Universal Music, a division of Universal International Music BV",14,136,311,856001,2021-11-11
143,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,7,142,1750,852071,2021-11-11
144,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,143,143,49,851864,2021-11-11
145,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",122,159,48,848827,2021-11-11
146,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,11,157,269,848111,2021-11-11
147,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,132,144,540,840357,2021-11-11
148,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,Universal Music AB,24,145,243,840239,2021-11-11
149,spotify:track:2rCbl9naJYhaxjLsfx88uM,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,9,151,207,839277,2021-11-11
150,spotify:track:704LUEih663hiE3CnyUrFW,KAROL G,SEJODIOTO,UMLE - Latino,72,150,49,839144,2021-11-11
151,spotify:track:0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Sony Music Latin,37,163,196,838213,2021-11-11
152,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,135,146,270,836820,2021-11-11
153,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,2,148,1434,832042,2021-11-11
154,spotify:track:6w8yBI2vthyN9UnwO4UBWb,"Tiago PZK, LIT killah",Entre Nosotros,WM Chile,31,158,125,831978,2021-11-11
155,spotify:track:2qEoAz0i6yEz5dPggABcLH,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,Chosen Few/ WK Records,155,177,3,829453,2021-11-11
156,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,121,156,177,825753,2021-11-11
157,spotify:track:0RYHqnmtNRfbYxP6Dn8Vse,Siouxxie,masquerade,Elektra (NEK),142,166,26,824999,2021-11-11
158,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,Epic/Not So Fast,8,149,274,823439,2021-11-11
159,spotify:track:6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight - Edit,Hell Beach,34,153,131,823309,2021-11-11
160,spotify:track:10IfXtjKQmOiON7tNAHv0y,JIN,Yours,"에이스토리, 모스트콘텐츠",45,120,5,821052,2021-11-11
161,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,162,873,819141,2021-11-11
162,spotify:track:6FE2iI43OZnszFLuLtvvmg,MKTO,Classic,Columbia/M2V,124,155,40,818124,2021-11-11
163,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,11,152,173,816535,2021-11-11
164,spotify:track:2RGIuYTsyyHoOCqW0krvNE,"Avine Vinny, Matheus Fernandes",Coração Cachorro,Sony Music Entertainment,45,171,36,816388,2021-11-11
165,spotify:track:4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,Interscope Records*,2,161,781,815402,2021-11-11
166,spotify:track:2wG1R0uDFwyobcWzVssC1J,PEDRO SAMPAIO,GALOPA,WM Brazil,91,160,15,814767,2021-11-11
167,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,Kemosabe Records/RCA Records,21,164,140,808774,2021-11-11
168,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,Hollywood Records,10,169,1166,808665,2021-11-11
169,spotify:track:4bNa2MHnPB7zckROAHh8mR,Avril Lavigne,Bite Me,DTA Records,169,-1,1,803224,2021-11-11
170,spotify:track:4kELKaXaNP4EQR8Q8xNIID,Trueno,FEEL ME??,NEUEN,154,167,10,802806,2021-11-11
171,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ,"Blxst, Tyga, Ty Dolla $ign",Chosen (feat. Ty Dolla $ign),Red Bull Records Inc. / Evgle LLC,79,154,109,802503,2021-11-11
172,spotify:track:7lQWRAjyhTpCWFC0jmclT4,"Coolio, L.V.",Gangsta's Paradise,Tommy Boy Music,127,173,74,797987,2021-11-11
173,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,Roc Nation/Columbia,106,165,166,796331,2021-11-11
174,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,114,174,361,791086,2021-11-11
175,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,3,168,659,787720,2021-11-11
176,spotify:track:1qDrWA6lyx8cLECdZE7TV7,"Gotye, Kimbra",Somebody That I Used To Know,Samples & Seconds / Republic,122,172,130,786875,2021-11-11
177,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,1,186,993,784570,2021-11-11
178,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,EMI / Interscope,2,178,266,783381,2021-11-11
179,spotify:track:6b2HYgqcK9mvktt4GxAu72,"Justin Quiles, Chimbala, Zion & Lennox",Loco,WEA Latina,55,185,158,781299,2021-11-11
180,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,129,181,370,776802,2021-11-11
181,spotify:track:7iqOIHHEmu6Vhw25GgQ2eA,"J Balvin, Sech",Una Nota,"Sueños Globales, LLC",43,180,63,776535,2021-11-11
