rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date
89,spotify:track:5joiME4fAdb6FqrsXOs3u9,"Bruno Mars, Anderson .Paak, Silk Sonic",Silk Sonic Intro,Aftermath Entertainment/Atlantic,89,-1,1,1516394,2021-11-12
90,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,Rock The World/IDJ/Kanye LP7,7,48,56,1485493,2021-11-12
91,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,37,51,92,1463812,2021-11-12
92,spotify:track:6pgqZ7Iw4LfHlfgWWaRFSY,TWICE,The Feels,Republic Records - TWICE,52,62,43,1433481,2021-11-12
93,spotify:track:2EBnvom1dTybtm75a3Xh1T,Tate McRae,feel like shit,RCA Records Label,93,-1,1,1424863,2021-11-12
94,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,"Big Machine Records, LLC",53,53,5,1414010,2021-11-12
95,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,54,727,1394461,2021-11-12
96,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,49,309,1386337,2021-11-12
97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,"Joel Corry, Jax Jones, Charli XCX, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),Atlantic Records UK,40,58,90,1384817,2021-11-12
98,spotify:track:6P096SaOzrgGxs8NWOfX7M,"Tiago PZK, Trueno",Salimo de Noche,WM Chile,64,64,18,1343356,2021-11-12
99,spotify:track:3PwRuzdphgedcWVUOVYJ7I,Rauw Alejandro,Cúrame,Sony Music Latin/Duars Entertainment,34,66,110,1333117,2021-11-12
100,spotify:track:4qsOrxBv09HhNSpsgMRXdC,"Marília Mendonça, Maiara & Maraisa",Esqueça-Me Se For Capaz,Som Livre,48,80,7,1315827,2021-11-12
101,spotify:track:0G2zPzWqVjR68iNPmx2TBe,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,19,61,128,1308836,2021-11-12
102,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,36,65,127,1304898,2021-11-12
103,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,Benson Boone,GHOST TOWN,"Night Street Records, Inc./Warner Records Inc.",53,59,20,1296663,2021-11-12
104,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,63,379,1290772,2021-11-12
105,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,60,71,1279857,2021-11-12
106,spotify:track:2bgTY4UwhfBYhGT4HUYStN,BTS,Butter,BIGHIT MUSIC / HYBE,2,56,176,1267554,2021-11-12
107,spotify:track:3JCaq3KDSROg3TXhdiDa9n,"Jhay Cortez, Anuel AA",Ley Seca,N&E Entertainment LLC,42,73,71,1258544,2021-11-12
108,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath,XO / Republic Records,7,55,99,1237458,2021-11-12
109,spotify:track:08F16baYbciTva9P4BvpiI,Travis Scott,MAFIA,Cactus Jack / Epic,11,57,8,1223108,2021-11-12
110,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,30,68,119,1221272,2021-11-12
111,spotify:track:4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,24,77,114,1189564,2021-11-12
112,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,67,1039,1187616,2021-11-12
113,spotify:track:5TMLavqGRKNxgzMBrVpC9R,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,78,78,75,1186858,2021-11-12
114,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,RCA Records Label,8,75,174,1179363,2021-11-12
115,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,14,70,141,1177104,2021-11-12
116,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,58,69,96,1174339,2021-11-12
117,spotify:track:4knc1Fp3kbuq8bH2byOvLu,"Camilo, Evaluna Montaner",Índigo,Sony Music Latin,35,71,30,1172306,2021-11-12
118,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,2,74,743,1169160,2021-11-12
119,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",9,87,169,1150222,2021-11-12
120,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,83,346,1147970,2021-11-12
121,spotify:track:6IPNp9PfaEqrzotY47TIWy,"DJ Snake, Ozuna, Megan Thee Stallion, LISA","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake Music Productions Limited,24,79,22,1137376,2021-11-12
122,spotify:track:053zWWZDziDJd3U94x8RuP,"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,Som Livre,68,106,7,1135555,2021-11-12
123,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,11,146,270,1115583,2021-11-12
124,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,94,239,1112018,2021-11-12
125,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),Kemosabe Records/RCA Records,35,82,107,1111410,2021-11-12
126,spotify:track:04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,Darkroom,46,72,54,1102723,2021-11-12
127,spotify:track:1q0PYXTbDsirp2l74ng6pn,"J Balvin, Skrillex",In Da Getto,"Sueños Globales, LLC",22,90,134,1101594,2021-11-12
128,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,19,129,52,1097921,2021-11-12
129,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,Atlantic Records,88,98,35,1095096,2021-11-12
130,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC / HYBE,1,81,449,1095058,2021-11-12
131,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,1,93,460,1091185,2021-11-12
132,spotify:track:1058fW9H3fZA6QjYCdOBad,Camila Cabello,Don't Go Yet,Epic,28,85,113,1088691,2021-11-12
133,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,19,84,1299,1073665,2021-11-12
134,spotify:track:6IAZHEBUIGJ6NJKxxOBIEr,Adele,Rolling in the Deep,XL Recordings,28,89,45,1072714,2021-11-12
135,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,76,226,1071903,2021-11-12
136,spotify:track:5rW7qTn83sCKtqBoneJs63,"bbno$, Rich Brian",edamame (feat. Rich Brian),bbno$,74,96,85,1065774,2021-11-12
137,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,AWGE/Interscope Records,88,88,26,1055311,2021-11-12
138,spotify:track:05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,11,99,141,1043902,2021-11-12
139,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,87,97,69,1041076,2021-11-12
140,spotify:track:2RGIuYTsyyHoOCqW0krvNE,"Avine Vinny, Matheus Fernandes",Coração Cachorro,Sony Music Entertainment,45,164,37,1028258,2021-11-12
141,spotify:track:5lkpeJwmQKgY3bX2zChjxX,Adele,Someone Like You,XL Recordings,31,95,49,1026066,2021-11-12
142,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,15,103,1742,1021329,2021-11-12
143,spotify:track:6O5TrlFWTYvznd9fMC0VvU,Adele,When We Were Young,XL Recordings,24,92,47,1011042,2021-11-12
144,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,22,101,78,1009598,2021-11-12
145,spotify:track:2wG1R0uDFwyobcWzVssC1J,PEDRO SAMPAIO,GALOPA,WM Brazil,91,166,16,1008409,2021-11-12
146,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,50,100,197,1007049,2021-11-12
147,spotify:track:32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever - Edit,Darkroom/Interscope Records,68,91,65,1001894,2021-11-12
148,spotify:track:4bNa2MHnPB7zckROAHh8mR,Avril Lavigne,Bite Me,DTA Records,148,169,2,993845,2021-11-12
149,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,107,1121,993337,2021-11-12
150,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,3,114,1703,989919,2021-11-12
151,spotify:track:4fSHADbZbhpZCT9oJpxwbP,"Paulo Pires, Mc Danny, Marcynho Sensação",Ameaça,Paulo Pires,124,-1,3,986309,2021-11-12
152,spotify:track:2N8m6CYs74qQO4mjVcXO30,Tones And I,Dance Monkey,Elektra (NEK),1,115,849,980782,2021-11-12
153,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,17,102,723,977655,2021-11-12
154,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,8,124,382,972019,2021-11-12
155,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",122,145,49,962429,2021-11-12
156,spotify:track:2qEoAz0i6yEz5dPggABcLH,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,Chosen Few/ WK Records,155,155,4,957340,2021-11-12
157,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,110,804,956271,2021-11-12
158,spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,56,109,8,949373,2021-11-12
159,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,10,117,1556,946767,2021-11-12
160,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,126,1750,944576,2021-11-12
161,spotify:track:1mrGEef8GuaEnDdw8J5BQp,"Bizarrap, Anuel AA","Anuel AA: Bzrp Music Sessions, Vol. 46",DALE PLAY Records,33,121,9,941197,2021-11-12
162,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,105,176,938862,2021-11-12
163,spotify:track:6E90gq0KO6FYZVOXx8kCcC,Masked Wolf,Astronaut In The Ocean,Elektra (NEK),2,125,302,936718,2021-11-12
164,spotify:track:4OwhwvKESFtuu06dTgct7i,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,47,132,137,935365,2021-11-12
165,spotify:track:0DuWDLjriRPjDRoPgaCslY,Adele,Love In The Dark,XL Recordings,40,111,34,932469,2021-11-12
166,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",Ela me Falou Que Quer Rave,Ritmo dos Fluxos Records,166,-1,3,924508,2021-11-12
167,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,103,113,89,922184,2021-11-12
168,spotify:track:5eXBXreN3d1zdj6Sa8dS0u,BTS,Permission to Dance,BIGHIT MUSIC,2,112,127,918602,2021-11-12
169,spotify:track:08SB2OtZkaliju77WYEKxk,"Summer Walker, SZA",No Love (with SZA),LVRN/Interscope Records,37,104,8,916182,2021-11-12
170,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,71,116,214,912699,2021-11-12
171,spotify:track:6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight - Edit,Hell Beach,34,159,132,911018,2021-11-12
172,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,118,386,909836,2021-11-12
