rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date
30,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,6,44,156,2297820,2021-11-13
31,spotify:track:6dmXZ9B5HdFAyzHeTneYBK,"ROSALÍA, The Weeknd",LA FAMA (with The Weeknd),Columbia,31,31,2,2292875,2021-11-13
32,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,Taylor Swift,Treacherous (Taylor's Version),Taylor Swift,18,18,2,2280185,2021-11-13
33,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Golden Child Entertainment Ltd,27,46,13,2255506,2021-11-13
34,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,Republic Records,24,49,28,2252216,2021-11-13
35,spotify:track:2gpWyfu7eZ01zzncHpxOtA,"Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),Republic Records,4,40,23,2245230,2021-11-13
36,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,2,50,219,2153357,2021-11-13
37,spotify:track:4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,7,54,40,2151727,2021-11-13
38,spotify:track:1r9xUipOqoNwggBpENDsvJ,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,KIDinaKORNER/Interscope Records,30,57,16,2141769,2021-11-13
39,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,53,233,2137342,2021-11-13
40,spotify:track:2r9CbjYgFhtAmcFv1cSquB,Taylor Swift,I Almost Do (Taylor's Version),Taylor Swift,21,21,2,2107493,2021-11-13
41,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,62,163,2059397,2021-11-13
42,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,6,52,107,2025830,2021-11-13
43,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,Taylor Swift,Better Man (Taylor's Version) (From The Vault),Taylor Swift,28,28,2,2013354,2021-11-13
44,spotify:track:7qEUFOVcxRI19tbT68JcYK,"Taylor Swift, Ed Sheeran",Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,24,24,2,2008270,2021-11-13
45,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,14,60,73,1957511,2021-11-13
46,spotify:track:7eQj6r5PIdYKEIZjucBMcq,Taylor Swift,Stay Stay Stay (Taylor's Version),Taylor Swift,26,26,2,1953687,2021-11-13
47,spotify:track:20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",47,69,15,1950355,2021-11-13
48,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,"Taylor Swift, Gary Lightbody",The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,29,29,2,1945407,2021-11-13
49,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,26,61,79,1926161,2021-11-13
50,spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,35,35,2,1923788,2021-11-13
51,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,64,716,1908695,2021-11-13
52,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,"Taylor Swift, Chris Stapleton",I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,38,38,2,1814172,2021-11-13
53,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,Taylor Swift,Holy Ground (Taylor's Version),Taylor Swift,33,33,2,1789204,2021-11-13
54,spotify:track:05GsNucq8Bngd9fnd4fRa0,Taylor Swift,Begin Again (Taylor's Version),Taylor Swift,36,36,2,1781166,2021-11-13
55,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,7,75,103,1779103,2021-11-13
56,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,2,78,177,1768401,2021-11-13
57,spotify:track:0v4z1tuZvn6LGknom9Qx7d,Taylor Swift,Babe (Taylor's Version) (From The Vault),Taylor Swift,37,37,2,1757293,2021-11-13
58,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,28,68,55,1756931,2021-11-13
59,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",23,67,75,1740209,2021-11-13
60,spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),Capitol,29,72,27,1718591,2021-11-13
61,spotify:track:4R67rQNSbbsR4TdUVOIdez,Travis Scott,ESCAPE PLAN,Cactus Jack / Epic,4,58,9,1695880,2021-11-13
62,spotify:track:2BEcap3xJtmiPaHKyfQi4e,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,Sony Music Latin,37,83,66,1661965,2021-11-13
63,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,79,408,1652854,2021-11-13
64,spotify:track:4e5ayHsOLJNLTGfjau2mEw,Taylor Swift,The Lucky One (Taylor's Version),Taylor Swift,41,41,2,1627660,2021-11-13
65,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,55,55,2,1625517,2021-11-13
66,spotify:track:73qMN9bXy7MSPwwGfH3wQr,Taylor Swift,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,43,43,2,1624302,2021-11-13
67,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,77,177,1618941,2021-11-13
68,spotify:track:4pNApnaUWAL2J4KO2eqokq,Taylor Swift,Come Back...Be Here (Taylor's Version),Taylor Swift,48,48,2,1602765,2021-11-13
69,spotify:track:6RfhBNU1FPWTG7VESlfgOl,Polo G,Bad Man (Smooth Criminal),Columbia,65,65,2,1600410,2021-11-13
70,spotify:track:7A2cNLRT0YJc1yjxHlKihs,Taylor Swift,Starlight (Taylor's Version),Taylor Swift,47,47,2,1595956,2021-11-13
71,spotify:track:0NRHj8hDwwmSPaA41o379r,Taylor Swift,The Moment I Knew (Taylor's Version),Taylor Swift,51,51,2,1582439,2021-11-13
72,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),OVO,4,80,72,1582420,2021-11-13
73,spotify:track:4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,Atlantic Records UK,10,76,16,1573733,2021-11-13
74,spotify:track:4qsOrxBv09HhNSpsgMRXdC,"Marília Mendonça, Maiara & Maraisa",Esqueça-Me Se For Capaz,Som Livre,48,100,8,1524242,2021-11-13
75,spotify:track:3oGVx9RBmiYGv5ZCecWLkx,Taylor Swift,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,56,56,2,1511092,2021-11-13
76,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,11,81,72,1510362,2021-11-13
77,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,39,84,34,1501974,2021-11-13
78,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,86,240,1491604,2021-11-13
79,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,33,85,446,1491196,2021-11-13
80,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,37,91,93,1457924,2021-11-13
81,spotify:track:21afd9hCjpQ6lE5DPbcPHP,"Bruno Mars, Anderson .Paak, Silk Sonic",Blast Off,Aftermath Entertainment/Atlantic,63,63,2,1450462,2021-11-13
82,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,3,88,205,1442963,2021-11-13
83,spotify:track:71l8BEtJPXXlWbV6hhTHWK,"Bruno Mars, Anderson .Paak, Silk Sonic",Skate,Aftermath Entertainment/Atlantic,31,74,32,1435745,2021-11-13
84,spotify:track:0DMVrlMUn01M0IcpDbwgu7,Taylor Swift,Girl At Home (Taylor's Version),Taylor Swift,59,59,2,1413979,2021-11-13
85,spotify:track:7HEWQj82REyDOKMAAlB9pc,"Bruno Mars, Anderson .Paak, Silk Sonic",Fly As Me,Aftermath Entertainment/Atlantic,66,66,2,1406268,2021-11-13
86,spotify:track:3PwRuzdphgedcWVUOVYJ7I,Rauw Alejandro,Cúrame,Sony Music Latin/Duars Entertainment,34,99,111,1399888,2021-11-13
87,spotify:track:2RGIuYTsyyHoOCqW0krvNE,"Avine Vinny, Matheus Fernandes",Coração Cachorro,Sony Music Entertainment,45,140,38,1383311,2021-11-13
88,spotify:track:6P096SaOzrgGxs8NWOfX7M,"Tiago PZK, Trueno",Salimo de Noche,WM Chile,64,98,19,1374895,2021-11-13
89,spotify:track:7ozvuHnA1zWzuTvReLChVL,"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",After Last Night (with Thundercat & Bootsy Collins),Aftermath Entertainment/Atlantic,71,71,2,1372780,2021-11-13
90,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,Kanye West,Praise God,Rock The World/IDJ/Kanye LP7,7,90,57,1369846,2021-11-13
91,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,36,102,128,1364820,2021-11-13
92,spotify:track:6Dy1jexKYriXAVG6evyUTJ,"Joel Corry, Jax Jones, Charli XCX, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),Atlantic Records UK,40,97,91,1342502,2021-11-13
93,spotify:track:1qE8DOtw7zdXHMgZm20eLM,TWICE,The Feels,Republic Records - TWICE,52,92,44,1338977,2021-11-13
94,spotify:track:0G2zPzWqVjR68iNPmx2TBe,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,19,101,129,1335129,2021-11-13
95,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,95,728,1332803,2021-11-13
96,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,"Big Machine Records, LLC",53,94,6,1331819,2021-11-13
97,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,104,380,1326331,2021-11-13
98,spotify:track:4fSHADbZbhpZCT9oJpxwbP,"Paulo Pires, Mc Danny, Marcynho Sensação",Ameaça,Paulo Pires,98,151,4,1308232,2021-11-13
99,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,96,310,1307882,2021-11-13
100,spotify:track:3JCaq3KDSROg3TXhdiDa9n,"Jhay Cortez, Anuel AA",Ley Seca,N&E Entertainment LLC,42,107,72,1299817,2021-11-13
101,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,124,240,1299488,2021-11-13
102,spotify:track:5jAIouBES8LWMiriuNq170,Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,73,73,2,1283153,2021-11-13
103,spotify:track:053zWWZDziDJd3U94x8RuP,"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,Som Livre,68,122,8,1282211,2021-11-13
104,spotify:track:5U4laaEEChW8FOtZXCu8C7,"Bruno Mars, Anderson .Paak, Silk Sonic",Put On A Smile,Aftermath Entertainment/Atlantic,82,82,2,1258278,2021-11-13
105,spotify:track:2wG1R0uDFwyobcWzVssC1J,PEDRO SAMPAIO,GALOPA,WM Brazil,91,145,17,1243391,2021-11-13
106,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,30,110,120,1231895,2021-11-13
107,spotify:track:2bgTY4UwhfBYhGT4HUYStN,BTS,Butter,BIGHIT MUSIC / HYBE,2,106,177,1226297,2021-11-13
108,spotify:track:5TMLavqGRKNxgzMBrVpC9R,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,78,113,76,1225159,2021-11-13
109,spotify:track:4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,24,111,115,1202289,2021-11-13
110,spotify:track:7nWui6jiMM2m9qFmET1Mtj,Taylor Swift,Ronan (Taylor's Version),Taylor Swift,70,70,2,1199607,2021-11-13
111,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",9,119,170,1195576,2021-11-13
112,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,105,72,1185000,2021-11-13
113,spotify:track:4knc1Fp3kbuq8bH2byOvLu,"Camilo, Evaluna Montaner",Índigo,Sony Music Latin,35,117,31,1184613,2021-11-13
114,spotify:track:4kGdnA7FzSVsXC29LPghej,"Zé Felipe, Marcynho Sensação",Revoada No Colchão,Som Livre,77,180,28,1182337,2021-11-13
115,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,Benson Boone,GHOST TOWN,"Night Street Records, Inc./Warner Records Inc.",53,103,21,1178291,2021-11-13
116,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",Ela me Falou Que Quer Rave,Ritmo dos Fluxos Records,116,166,4,1170582,2021-11-13
117,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,RCA Records Label,8,114,175,1156919,2021-11-13
118,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath,XO / Republic Records,7,108,100,1155922,2021-11-13
119,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,2,118,744,1148357,2021-11-13
120,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,14,115,142,1142827,2021-11-13
121,spotify:track:4zm8xZiV5FxJu62EHEvZaT,"Bruno Mars, Anderson .Paak, Silk Sonic",777,Aftermath Entertainment/Atlantic,87,87,2,1135475,2021-11-13
122,spotify:track:1q0PYXTbDsirp2l74ng6pn,"J Balvin, Skrillex",In Da Getto,"Sueños Globales, LLC",22,127,135,1133896,2021-11-13
123,spotify:track:4u06FbRh6FvV2FQZkouzCw,Henrique & Juliano,Arranhão - Ao Vivo,Virgin Music Label And Artist Services (S&D),60,176,77,1131835,2021-11-13
124,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,112,1040,1129506,2021-11-13
125,spotify:track:6IPNp9PfaEqrzotY47TIWy,"DJ Snake, Ozuna, Megan Thee Stallion, LISA","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake Music Productions Limited,24,121,23,1119729,2021-11-13
126,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,58,116,97,1110870,2021-11-13
127,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,1,131,461,1103454,2021-11-13
128,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),Kemosabe Records/RCA Records,35,125,108,1097752,2021-11-13
129,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,120,347,1093143,2021-11-13
130,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC / HYBE,1,130,450,1087125,2021-11-13
131,spotify:track:05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,11,138,142,1078120,2021-11-13
132,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,Atlantic Records,88,129,36,1059848,2021-11-13
133,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,19,128,53,1052994,2021-11-13
134,spotify:track:5rW7qTn83sCKtqBoneJs63,"bbno$, Rich Brian",edamame (feat. Rich Brian),bbno$,74,136,86,1042980,2021-11-13
135,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,15,142,1743,1040348,2021-11-13
136,spotify:track:6IAZHEBUIGJ6NJKxxOBIEr,Adele,Rolling in the Deep,XL Recordings,28,134,46,1040092,2021-11-13
137,spotify:track:1058fW9H3fZA6QjYCdOBad,Camila Cabello,Don't Go Yet,Epic,28,132,114,1035801,2021-11-13
138,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,135,227,1027721,2021-11-13
139,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan","Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",Tratto Entretenimentos,75,-1,27,1021465,2021-11-13
140,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,87,139,70,1017530,2021-11-13
141,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,19,133,1300,1016683,2021-11-13
142,spotify:track:04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,Darkroom,46,126,55,1015400,2021-11-13
143,spotify:track:5joiME4fAdb6FqrsXOs3u9,"Bruno Mars, Anderson .Paak, Silk Sonic",Silk Sonic Intro,Aftermath Entertainment/Atlantic,89,89,2,1015393,2021-11-13
144,spotify:track:2N8m6CYs74qQO4mjVcXO30,Tones And I,Dance Monkey,Elektra (NEK),1,152,850,1008372,2021-11-13
145,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,AWGE/Interscope Records,88,137,27,998131,2021-11-13
146,spotify:track:2EBnvom1dTybtm75a3Xh1T,Tate McRae,feel like shit,RCA Records Label,93,93,2,995978,2021-11-13
147,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,11,123,271,991417,2021-11-13
148,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,3,150,1704,985580,2021-11-13
149,spotify:track:2qEoAz0i6yEz5dPggABcLH,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,Chosen Few/ WK Records,149,156,5,980514,2021-11-13
150,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,50,146,198,978533,2021-11-13
151,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",122,155,50,976361,2021-11-13
152,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,8,154,383,969409,2021-11-13
153,spotify:track:4OwhwvKESFtuu06dTgct7i,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,47,164,138,965946,2021-11-13
154,spotify:track:5lkpeJwmQKgY3bX2zChjxX,Adele,Someone Like You,XL Recordings,31,141,50,965320,2021-11-13
155,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,149,1122,963776,2021-11-13
156,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,160,1751,958235,2021-11-13
157,spotify:track:32BeYxKPrig1LefHsC0Xuo,Billie Eilish,Happier Than Ever - Edit,Darkroom/Interscope Records,68,147,66,952723,2021-11-13
158,spotify:track:08F16baYbciTva9P4BvpiI,Travis Scott,MAFIA,Cactus Jack / Epic,11,109,9,947202,2021-11-13
159,spotify:track:6E90gq0KO6FYZVOXx8kCcC,Masked Wolf,Astronaut In The Ocean,Elektra (NEK),2,163,303,947127,2021-11-13
160,spotify:track:704LUEih663hiE3CnyUrFW,KAROL G,SEJODIOTO,UMLE - Latino,72,173,51,933316,2021-11-13
161,spotify:track:6O5TrlFWTYvznd9fMC0VvU,Adele,When We Were Young,XL Recordings,24,143,48,931801,2021-11-13
162,spotify:track:0lJE8f0lx8mUSfMyxeYpiC,"TINI, L-Gante",Bar,Sony Music Latin,162,178,2,928420,2021-11-13
163,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,22,144,79,927360,2021-11-13
164,spotify:track:6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight - Edit,Hell Beach,34,171,133,923441,2021-11-13
165,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,17,153,724,920152,2021-11-13
166,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,10,159,1557,919548,2021-11-13
167,spotify:track:0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Sony Music Latin,37,179,198,917582,2021-11-13
168,spotify:track:1mrGEef8GuaEnDdw8J5BQp,"Bizarrap, Anuel AA","Anuel AA: Bzrp Music Sessions, Vol. 46",DALE PLAY Records,33,161,10,914094,2021-11-13
169,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,157,805,910152,2021-11-13
170,spotify:track:5eXBXreN3d1zdj6Sa8dS0u,BTS,Permission to Dance,BIGHIT MUSIC,2,168,128,901376,2021-11-13
171,spotify:track:2Lz99y9ZH6btuLt9nPMuX6,Nirvana,Smells Like Teen Spirit,Geffen,92,-1,298,898695,2021-11-13
